Electoral wards and divisions Code,Electoral wards and divisions,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E05009318,Blackwall & Cubitt Town,18,Economically inactive: Long-term sick or disabled,407
E05009318,Blackwall & Cubitt Town,19,Economically inactive: Other,640
E05009319,Bow East,-8,Does not apply,3224
E05009319,Bow East,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1443
E05009319,Bow East,2,Economically active (excluding full-time students): In employment: Employee: Full-time,7413
E05009319,Bow East,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,62
E05009319,Bow East,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,136
E05009319,Bow East,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,621
E05009319,Bow East,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,894
E05009319,Bow East,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,794
E05009319,Bow East,8,Economically active and a full-time student: In employment: Employee: Part-time,193
E05009319,Bow East,9,Economically active and a full-time student: In employment: Employee: Full-time,78
E05009319,Bow East,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E05009319,Bow East,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009319,Bow East,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,30
E05009319,Bow East,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,9
E05009319,Bow East,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,138
E05009319,Bow East,15,Economically inactive: Retired,988
E05009319,Bow East,16,Economically inactive: Student,1075
E05009319,Bow East,17,Economically inactive: Looking after home or family,1033
E05009319,Bow East,18,Economically inactive: Long-term sick or disabled,696
E05009319,Bow East,19,Economically inactive: Other,692
E05009320,Bow West,-8,Does not apply,2396
E05009320,Bow West,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1133
E05009320,Bow West,2,Economically active (excluding full-time students): In employment: Employee: Full-time,4599
E05009320,Bow West,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,40
E05009320,Bow West,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,118
E05009320,Bow West,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,498
E05009320,Bow West,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,586
E05009320,Bow West,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,402
E05009320,Bow West,8,Economically active and a full-time student: In employment: Employee: Part-time,179
E05009320,Bow West,9,Economically active and a full-time student: In employment: Employee: Full-time,63
E05009320,Bow West,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05009320,Bow West,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009320,Bow West,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,25
E05009320,Bow West,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,11
E05009320,Bow West,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,95
E05009320,Bow West,15,Economically inactive: Retired,997
E05009320,Bow West,16,Economically inactive: Student,812
E05009320,Bow West,17,Economically inactive: Looking after home or family,786
E05009320,Bow West,18,Economically inactive: Long-term sick or disabled,449
E05009320,Bow West,19,Economically inactive: Other,521
E05009321,Bromley North,-8,Does not apply,2479
E05009321,Bromley North,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1210
E05009321,Bromley North,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3195
E05009321,Bromley North,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,48
E05009321,Bromley North,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,58
E05009321,Bromley North,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,307
E05009321,Bromley North,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,313
E05009321,Bromley North,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,530
E05009321,Bromley North,8,Economically active and a full-time student: In employment: Employee: Part-time,169
E05009321,Bromley North,9,Economically active and a full-time student: In employment: Employee: Full-time,49
E05009321,Bromley North,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,3
E05009321,Bromley North,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009321,Bromley North,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,27
E05009321,Bromley North,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,6
E05009321,Bromley North,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,102
E05009321,Bromley North,15,Economically inactive: Retired,537
E05009321,Bromley North,16,Economically inactive: Student,741
E05009321,Bromley North,17,Economically inactive: Looking after home or family,925
E05009321,Bromley North,18,Economically inactive: Long-term sick or disabled,490
E05009321,Bromley North,19,Economically inactive: Other,513
E05009322,Bromley South,-8,Does not apply,3049
E05009322,Bromley South,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1243
E05009322,Bromley South,2,Economically active (excluding full-time students): In employment: Employee: Full-time,4132
E05009322,Bromley South,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,40
E05009322,Bromley South,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,58
E05009322,Bromley South,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,341
E05009322,Bromley South,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,321
E05009322,Bromley South,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,576
E05009322,Bromley South,8,Economically active and a full-time student: In employment: Employee: Part-time,244
E05009322,Bromley South,9,Economically active and a full-time student: In employment: Employee: Full-time,65
E05009322,Bromley South,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05009322,Bromley South,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009322,Bromley South,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,21
E05009322,Bromley South,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E05009322,Bromley South,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,152
E05009322,Bromley South,15,Economically inactive: Retired,497
E05009322,Bromley South,16,Economically inactive: Student,1070
E05009322,Bromley South,17,Economically inactive: Looking after home or family,1135
E05009322,Bromley South,18,Economically inactive: Long-term sick or disabled,490
E05009322,Bromley South,19,Economically inactive: Other,525
E05009323,Canary Wharf,-8,Does not apply,2733
E05009323,Canary Wharf,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1151
E05009323,Canary Wharf,2,Economically active (excluding full-time students): In employment: Employee: Full-time,7914
E05009323,Canary Wharf,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,52
E05009323,Canary Wharf,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,157
E05009323,Canary Wharf,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,462
E05009323,Canary Wharf,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,617
E05009323,Canary Wharf,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,618
E05009323,Canary Wharf,8,Economically active and a full-time student: In employment: Employee: Part-time,174
E05009323,Canary Wharf,9,Economically active and a full-time student: In employment: Employee: Full-time,97
E05009323,Canary Wharf,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E05009323,Canary Wharf,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E05009323,Canary Wharf,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,30
E05009323,Canary Wharf,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,11
E05009323,Canary Wharf,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,163
E05009323,Canary Wharf,15,Economically inactive: Retired,581
E05009323,Canary Wharf,16,Economically inactive: Student,1224
E05009323,Canary Wharf,17,Economically inactive: Looking after home or family,990
E05009323,Canary Wharf,18,Economically inactive: Long-term sick or disabled,426
E05009323,Canary Wharf,19,Economically inactive: Other,566
E05009324,Island Gardens,-8,Does not apply,2805
E05009324,Island Gardens,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1048
E05009324,Island Gardens,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5543
E05009324,Island Gardens,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,46
E05009324,Island Gardens,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,122
E05009324,Island Gardens,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,486
E05009324,Island Gardens,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,604
E05009324,Island Gardens,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,627
E05009324,Island Gardens,8,Economically active and a full-time student: In employment: Employee: Part-time,254
E05009324,Island Gardens,9,Economically active and a full-time student: In employment: Employee: Full-time,66
E05009324,Island Gardens,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05009324,Island Gardens,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009324,Island Gardens,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,35
E05009324,Island Gardens,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,11
E05009324,Island Gardens,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,135
E05009324,Island Gardens,15,Economically inactive: Retired,859
E05009324,Island Gardens,16,Economically inactive: Student,830
E05009324,Island Gardens,17,Economically inactive: Looking after home or family,946
E05009324,Island Gardens,18,Economically inactive: Long-term sick or disabled,344
E05009324,Island Gardens,19,Economically inactive: Other,540
E05009325,Lansbury,-8,Does not apply,5002
E05009325,Lansbury,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1862
E05009325,Lansbury,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5726
E05009325,Lansbury,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,78
E05009325,Lansbury,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,93
E05009325,Lansbury,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,590
E05009325,Lansbury,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,545
E05009325,Lansbury,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,831
E05009325,Lansbury,8,Economically active and a full-time student: In employment: Employee: Part-time,347
E05009325,Lansbury,9,Economically active and a full-time student: In employment: Employee: Full-time,111
E05009325,Lansbury,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,10
E05009325,Lansbury,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009325,Lansbury,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,27
E05009325,Lansbury,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,12
E05009325,Lansbury,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,176
E05009325,Lansbury,15,Economically inactive: Retired,968
E05009325,Lansbury,16,Economically inactive: Student,1709
E05009325,Lansbury,17,Economically inactive: Looking after home or family,1799
E05009325,Lansbury,18,Economically inactive: Long-term sick or disabled,822
E05009325,Lansbury,19,Economically inactive: Other,997
E05009326,Limehouse,-8,Does not apply,795
E05009326,Limehouse,1,Economically active (excluding full-time students): In employment: Employee: Part-time,463
E05009326,Limehouse,2,Economically active (excluding full-time students): In employment: Employee: Full-time,2986
E05009326,Limehouse,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,31
E05009326,Limehouse,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,69
E05009326,Limehouse,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,231
E05009326,Limehouse,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,300
E05009326,Limehouse,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,198
E05009326,Limehouse,8,Economically active and a full-time student: In employment: Employee: Part-time,60
E05009326,Limehouse,9,Economically active and a full-time student: In employment: Employee: Full-time,31
E05009326,Limehouse,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E05009326,Limehouse,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009326,Limehouse,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,10
E05009326,Limehouse,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,14
E05009326,Limehouse,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,39
E05009326,Limehouse,15,Economically inactive: Retired,336
E05009326,Limehouse,16,Economically inactive: Student,295
E05009326,Limehouse,17,Economically inactive: Looking after home or family,290
E05009326,Limehouse,18,Economically inactive: Long-term sick or disabled,147
E05009326,Limehouse,19,Economically inactive: Other,258
E05009327,Mile End (Tower Hamlets),-8,Does not apply,4587
E05009327,Mile End (Tower Hamlets),1,Economically active (excluding full-time students): In employment: Employee: Part-time,2008
E05009327,Mile End (Tower Hamlets),2,Economically active (excluding full-time students): In employment: Employee: Full-time,6349
E05009327,Mile End (Tower Hamlets),3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,94
E05009327,Mile End (Tower Hamlets),4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,148
E05009327,Mile End (Tower Hamlets),5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,575
E05009327,Mile End (Tower Hamlets),6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,582
E05009327,Mile End (Tower Hamlets),7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,893
E05009327,Mile End (Tower Hamlets),8,Economically active and a full-time student: In employment: Employee: Part-time,305
E05009327,Mile End (Tower Hamlets),9,Economically active and a full-time student: In employment: Employee: Full-time,85
E05009327,Mile End (Tower Hamlets),10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E05009327,Mile End (Tower Hamlets),11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009327,Mile End (Tower Hamlets),12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,40
E05009327,Mile End (Tower Hamlets),13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,5
E05009327,Mile End (Tower Hamlets),14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,235
E05009327,Mile End (Tower Hamlets),15,Economically inactive: Retired,942
E05009327,Mile End (Tower Hamlets),16,Economically inactive: Student,1617
E05009327,Mile End (Tower Hamlets),17,Economically inactive: Looking after home or family,1663
E05009327,Mile End (Tower Hamlets),18,Economically inactive: Long-term sick or disabled,702
E05009327,Mile End (Tower Hamlets),19,Economically inactive: Other,822
E05009328,Poplar (Tower Hamlets),-8,Does not apply,1991
E05009328,Poplar (Tower Hamlets),1,Economically active (excluding full-time students): In employment: Employee: Part-time,822
E05009328,Poplar (Tower Hamlets),2,Economically active (excluding full-time students): In employment: Employee: Full-time,1946
E05009328,Poplar (Tower Hamlets),3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,30
E05009328,Poplar (Tower Hamlets),4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,48
E05009328,Poplar (Tower Hamlets),5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,195
E05009328,Poplar (Tower Hamlets),6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,198
E05009328,Poplar (Tower Hamlets),7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,357
E05009328,Poplar (Tower Hamlets),8,Economically active and a full-time student: In employment: Employee: Part-time,101
E05009328,Poplar (Tower Hamlets),9,Economically active and a full-time student: In employment: Employee: Full-time,44
E05009328,Poplar (Tower Hamlets),10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05009328,Poplar (Tower Hamlets),11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009328,Poplar (Tower Hamlets),12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,8
E05009328,Poplar (Tower Hamlets),13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E05009328,Poplar (Tower Hamlets),14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,84
E05009328,Poplar (Tower Hamlets),15,Economically inactive: Retired,323
E05009328,Poplar (Tower Hamlets),16,Economically inactive: Student,568
E05009328,Poplar (Tower Hamlets),17,Economically inactive: Looking after home or family,731
E05009328,Poplar (Tower Hamlets),18,Economically inactive: Long-term sick or disabled,278
E05009328,Poplar (Tower Hamlets),19,Economically inactive: Other,339
E05009329,St Dunstan's,-8,Does not apply,3245
E05009329,St Dunstan's,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1425
E05009329,St Dunstan's,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3551
E05009329,St Dunstan's,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,55
E05009329,St Dunstan's,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,74
E05009329,St Dunstan's,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,367
E05009329,St Dunstan's,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,340
E05009329,St Dunstan's,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,565
E05009329,St Dunstan's,8,Economically active and a full-time student: In employment: Employee: Part-time,221
E05009329,St Dunstan's,9,Economically active and a full-time student: In employment: Employee: Full-time,59
E05009329,St Dunstan's,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05009329,St Dunstan's,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009329,St Dunstan's,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,37
E05009329,St Dunstan's,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E05009329,St Dunstan's,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,158
E05009329,St Dunstan's,15,Economically inactive: Retired,745
E05009329,St Dunstan's,16,Economically inactive: Student,1315
E05009329,St Dunstan's,17,Economically inactive: Looking after home or family,1324
E05009329,St Dunstan's,18,Economically inactive: Long-term sick or disabled,630
E05009329,St Dunstan's,19,Economically inactive: Other,635
E05009330,St Katharine's & Wapping,-8,Does not apply,1488
E05009330,St Katharine's & Wapping,1,Economically active (excluding full-time students): In employment: Employee: Part-time,725
E05009330,St Katharine's & Wapping,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5764
E05009330,St Katharine's & Wapping,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,46
E05009330,St Katharine's & Wapping,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,98
E05009330,St Katharine's & Wapping,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,405
E05009330,St Katharine's & Wapping,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,566
E05009330,St Katharine's & Wapping,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,371
E05009330,St Katharine's & Wapping,8,Economically active and a full-time student: In employment: Employee: Part-time,72
E05009330,St Katharine's & Wapping,9,Economically active and a full-time student: In employment: Employee: Full-time,51
E05009330,St Katharine's & Wapping,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05009330,St Katharine's & Wapping,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009330,St Katharine's & Wapping,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,25
E05009330,St Katharine's & Wapping,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,12
E05009330,St Katharine's & Wapping,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,74
E05009330,St Katharine's & Wapping,15,Economically inactive: Retired,715
E05009330,St Katharine's & Wapping,16,Economically inactive: Student,550
E05009330,St Katharine's & Wapping,17,Economically inactive: Looking after home or family,474
E05009330,St Katharine's & Wapping,18,Economically inactive: Long-term sick or disabled,229
E05009330,St Katharine's & Wapping,19,Economically inactive: Other,292
E05009331,St Peter's (Tower Hamlets),-8,Does not apply,3392
E05009331,St Peter's (Tower Hamlets),1,Economically active (excluding full-time students): In employment: Employee: Part-time,1648
E05009331,St Peter's (Tower Hamlets),2,Economically active (excluding full-time students): In employment: Employee: Full-time,5987
E05009331,St Peter's (Tower Hamlets),3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,59
E05009331,St Peter's (Tower Hamlets),4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,132
E05009331,St Peter's (Tower Hamlets),5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,734
E05009331,St Peter's (Tower Hamlets),6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,813
E05009331,St Peter's (Tower Hamlets),7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,752
E05009331,St Peter's (Tower Hamlets),8,Economically active and a full-time student: In employment: Employee: Part-time,269
E05009331,St Peter's (Tower Hamlets),9,Economically active and a full-time student: In employment: Employee: Full-time,71
E05009331,St Peter's (Tower Hamlets),10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05009331,St Peter's (Tower Hamlets),11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05009331,St Peter's (Tower Hamlets),12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,52
E05009331,St Peter's (Tower Hamlets),13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,12
E05009331,St Peter's (Tower Hamlets),14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,222
E05009331,St Peter's (Tower Hamlets),15,Economically inactive: Retired,998
E05009331,St Peter's (Tower Hamlets),16,Economically inactive: Student,1499
E05009331,St Peter's (Tower Hamlets),17,Economically inactive: Looking after home or family,1384
E05009331,St Peter's (Tower Hamlets),18,Economically inactive: Long-term sick or disabled,827
E05009331,St Peter's (Tower Hamlets),19,Economically inactive: Other,925
E05009332,Shadwell,-8,Does not apply,3008
E05009332,Shadwell,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1440
E05009332,Shadwell,2,Economically active (excluding full-time students): In employment: Employee: Full-time,2971
E05009332,Shadwell,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,46
E05009332,Shadwell,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,68
E05009332,Shadwell,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,349
E05009332,Shadwell,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,312
E05009332,Shadwell,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,531
E05009332,Shadwell,8,Economically active and a full-time student: In employment: Employee: Part-time,194
E05009332,Shadwell,9,Economically active and a full-time student: In employment: Employee: Full-time,60
E05009332,Shadwell,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05009332,Shadwell,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05009332,Shadwell,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,18
E05009332,Shadwell,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E05009332,Shadwell,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,141
E05009332,Shadwell,15,Economically inactive: Retired,736
E05009332,Shadwell,16,Economically inactive: Student,1006
E05009332,Shadwell,17,Economically inactive: Looking after home or family,1251
E05009332,Shadwell,18,Economically inactive: Long-term sick or disabled,550
E05009332,Shadwell,19,Economically inactive: Other,593
