Electoral wards and divisions Code,Electoral wards and divisions,Household composition (15 categories) Code,Household composition (15 categories),Observation
E05009319,Bow East,11,Single family household: Lone parent family: All children non-dependent,362
E05009319,Bow East,12,Other household types: Other related household: Other family composition,177
E05009319,Bow East,13,Other household types: With dependent children,203
E05009319,Bow East,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1084
E05009320,Bow West,-8,Does not apply,0
E05009320,Bow West,1,One-person household: Aged 66 years and over,406
E05009320,Bow West,2,One-person household: Other,1121
E05009320,Bow West,3,Single family household: All aged 66 years and over,108
E05009320,Bow West,4,Single family household: Married or civil partnership couple: No children,345
E05009320,Bow West,5,Single family household: Married or civil partnership couple: Dependent children,705
E05009320,Bow West,6,Single family household: Married or civil partnership couple: All children non-dependent,153
E05009320,Bow West,7,Single family household: Cohabiting couple family: No children,508
E05009320,Bow West,8,Single family household: Cohabiting couple family: With dependent children,134
E05009320,Bow West,9,Single family household: Cohabiting couple family: All children non-dependent,31
E05009320,Bow West,10,Single family household: Lone parent family: With dependent children,303
E05009320,Bow West,11,Single family household: Lone parent family: All children non-dependent,252
E05009320,Bow West,12,Other household types: Other related household: Other family composition,122
E05009320,Bow West,13,Other household types: With dependent children,239
E05009320,Bow West,14,"Other household types: Other, including all full-time students and all aged 66 years and over",852
E05009321,Bromley North,-8,Does not apply,0
E05009321,Bromley North,1,One-person household: Aged 66 years and over,205
E05009321,Bromley North,2,One-person household: Other,1253
E05009321,Bromley North,3,Single family household: All aged 66 years and over,37
E05009321,Bromley North,4,Single family household: Married or civil partnership couple: No children,268
E05009321,Bromley North,5,Single family household: Married or civil partnership couple: Dependent children,713
E05009321,Bromley North,6,Single family household: Married or civil partnership couple: All children non-dependent,129
E05009321,Bromley North,7,Single family household: Cohabiting couple family: No children,406
E05009321,Bromley North,8,Single family household: Cohabiting couple family: With dependent children,108
E05009321,Bromley North,9,Single family household: Cohabiting couple family: All children non-dependent,16
E05009321,Bromley North,10,Single family household: Lone parent family: With dependent children,400
E05009321,Bromley North,11,Single family household: Lone parent family: All children non-dependent,215
E05009321,Bromley North,12,Other household types: Other related household: Other family composition,90
E05009321,Bromley North,13,Other household types: With dependent children,231
E05009321,Bromley North,14,"Other household types: Other, including all full-time students and all aged 66 years and over",452
E05009322,Bromley South,-8,Does not apply,0
E05009322,Bromley South,1,One-person household: Aged 66 years and over,136
E05009322,Bromley South,2,One-person household: Other,1237
E05009322,Bromley South,3,Single family household: All aged 66 years and over,47
E05009322,Bromley South,4,Single family household: Married or civil partnership couple: No children,300
E05009322,Bromley South,5,Single family household: Married or civil partnership couple: Dependent children,934
E05009322,Bromley South,6,Single family household: Married or civil partnership couple: All children non-dependent,129
E05009322,Bromley South,7,Single family household: Cohabiting couple family: No children,464
E05009322,Bromley South,8,Single family household: Cohabiting couple family: With dependent children,118
E05009322,Bromley South,9,Single family household: Cohabiting couple family: All children non-dependent,5
E05009322,Bromley South,10,Single family household: Lone parent family: With dependent children,449
E05009322,Bromley South,11,Single family household: Lone parent family: All children non-dependent,254
E05009322,Bromley South,12,Other household types: Other related household: Other family composition,153
E05009322,Bromley South,13,Other household types: With dependent children,241
E05009322,Bromley South,14,"Other household types: Other, including all full-time students and all aged 66 years and over",583
E05009323,Canary Wharf,-8,Does not apply,0
E05009323,Canary Wharf,1,One-person household: Aged 66 years and over,199
E05009323,Canary Wharf,2,One-person household: Other,3242
E05009323,Canary Wharf,3,Single family household: All aged 66 years and over,67
E05009323,Canary Wharf,4,Single family household: Married or civil partnership couple: No children,998
E05009323,Canary Wharf,5,Single family household: Married or civil partnership couple: Dependent children,942
E05009323,Canary Wharf,6,Single family household: Married or civil partnership couple: All children non-dependent,130
E05009323,Canary Wharf,7,Single family household: Cohabiting couple family: No children,967
E05009323,Canary Wharf,8,Single family household: Cohabiting couple family: With dependent children,112
E05009323,Canary Wharf,9,Single family household: Cohabiting couple family: All children non-dependent,20
E05009323,Canary Wharf,10,Single family household: Lone parent family: With dependent children,465
E05009323,Canary Wharf,11,Single family household: Lone parent family: All children non-dependent,176
E05009323,Canary Wharf,12,Other household types: Other related household: Other family composition,243
E05009323,Canary Wharf,13,Other household types: With dependent children,186
E05009323,Canary Wharf,14,"Other household types: Other, including all full-time students and all aged 66 years and over",811
E05009324,Island Gardens,-8,Does not apply,0
E05009324,Island Gardens,1,One-person household: Aged 66 years and over,321
E05009324,Island Gardens,2,One-person household: Other,1438
E05009324,Island Gardens,3,Single family household: All aged 66 years and over,100
E05009324,Island Gardens,4,Single family household: Married or civil partnership couple: No children,613
E05009324,Island Gardens,5,Single family household: Married or civil partnership couple: Dependent children,1000
E05009324,Island Gardens,6,Single family household: Married or civil partnership couple: All children non-dependent,163
E05009324,Island Gardens,7,Single family household: Cohabiting couple family: No children,619
E05009324,Island Gardens,8,Single family household: Cohabiting couple family: With dependent children,166
E05009324,Island Gardens,9,Single family household: Cohabiting couple family: All children non-dependent,18
E05009324,Island Gardens,10,Single family household: Lone parent family: With dependent children,373
E05009324,Island Gardens,11,Single family household: Lone parent family: All children non-dependent,275
E05009324,Island Gardens,12,Other household types: Other related household: Other family composition,121
E05009324,Island Gardens,13,Other household types: With dependent children,224
E05009324,Island Gardens,14,"Other household types: Other, including all full-time students and all aged 66 years and over",708
E05009325,Lansbury,-8,Does not apply,0
E05009325,Lansbury,1,One-person household: Aged 66 years and over,386
E05009325,Lansbury,2,One-person household: Other,1589
E05009325,Lansbury,3,Single family household: All aged 66 years and over,90
E05009325,Lansbury,4,Single family household: Married or civil partnership couple: No children,491
E05009325,Lansbury,5,Single family household: Married or civil partnership couple: Dependent children,1344
E05009325,Lansbury,6,Single family household: Married or civil partnership couple: All children non-dependent,212
E05009325,Lansbury,7,Single family household: Cohabiting couple family: No children,558
E05009325,Lansbury,8,Single family household: Cohabiting couple family: With dependent children,171
E05009325,Lansbury,9,Single family household: Cohabiting couple family: All children non-dependent,43
E05009325,Lansbury,10,Single family household: Lone parent family: With dependent children,765
E05009325,Lansbury,11,Single family household: Lone parent family: All children non-dependent,362
E05009325,Lansbury,12,Other household types: Other related household: Other family composition,204
E05009325,Lansbury,13,Other household types: With dependent children,422
E05009325,Lansbury,14,"Other household types: Other, including all full-time students and all aged 66 years and over",893
E05009326,Limehouse,-8,Does not apply,0
E05009326,Limehouse,1,One-person household: Aged 66 years and over,124
E05009326,Limehouse,2,One-person household: Other,893
E05009326,Limehouse,3,Single family household: All aged 66 years and over,42
E05009326,Limehouse,4,Single family household: Married or civil partnership couple: No children,311
E05009326,Limehouse,5,Single family household: Married or civil partnership couple: Dependent children,297
E05009326,Limehouse,6,Single family household: Married or civil partnership couple: All children non-dependent,48
E05009326,Limehouse,7,Single family household: Cohabiting couple family: No children,429
E05009326,Limehouse,8,Single family household: Cohabiting couple family: With dependent children,53
E05009326,Limehouse,9,Single family household: Cohabiting couple family: All children non-dependent,1
E05009326,Limehouse,10,Single family household: Lone parent family: With dependent children,94
E05009326,Limehouse,11,Single family household: Lone parent family: All children non-dependent,77
E05009326,Limehouse,12,Other household types: Other related household: Other family composition,59
E05009326,Limehouse,13,Other household types: With dependent children,67
E05009326,Limehouse,14,"Other household types: Other, including all full-time students and all aged 66 years and over",432
E05009327,Mile End (Tower Hamlets),-8,Does not apply,0
E05009327,Mile End (Tower Hamlets),1,One-person household: Aged 66 years and over,332
E05009327,Mile End (Tower Hamlets),2,One-person household: Other,1786
E05009327,Mile End (Tower Hamlets),3,Single family household: All aged 66 years and over,74
E05009327,Mile End (Tower Hamlets),4,Single family household: Married or civil partnership couple: No children,434
E05009327,Mile End (Tower Hamlets),5,Single family household: Married or civil partnership couple: Dependent children,1413
E05009327,Mile End (Tower Hamlets),6,Single family household: Married or civil partnership couple: All children non-dependent,203
E05009327,Mile End (Tower Hamlets),7,Single family household: Cohabiting couple family: No children,697
E05009327,Mile End (Tower Hamlets),8,Single family household: Cohabiting couple family: With dependent children,155
E05009327,Mile End (Tower Hamlets),9,Single family household: Cohabiting couple family: All children non-dependent,16
E05009327,Mile End (Tower Hamlets),10,Single family household: Lone parent family: With dependent children,628
E05009327,Mile End (Tower Hamlets),11,Single family household: Lone parent family: All children non-dependent,363
E05009327,Mile End (Tower Hamlets),12,Other household types: Other related household: Other family composition,177
E05009327,Mile End (Tower Hamlets),13,Other household types: With dependent children,404
E05009327,Mile End (Tower Hamlets),14,"Other household types: Other, including all full-time students and all aged 66 years and over",1120
E05009328,Poplar (Tower Hamlets),-8,Does not apply,0
E05009328,Poplar (Tower Hamlets),1,One-person household: Aged 66 years and over,125
E05009328,Poplar (Tower Hamlets),2,One-person household: Other,719
E05009328,Poplar (Tower Hamlets),3,Single family household: All aged 66 years and over,26
E05009328,Poplar (Tower Hamlets),4,Single family household: Married or civil partnership couple: No children,162
E05009328,Poplar (Tower Hamlets),5,Single family household: Married or civil partnership couple: Dependent children,593
E05009328,Poplar (Tower Hamlets),6,Single family household: Married or civil partnership couple: All children non-dependent,101
E05009328,Poplar (Tower Hamlets),7,Single family household: Cohabiting couple family: No children,143
E05009328,Poplar (Tower Hamlets),8,Single family household: Cohabiting couple family: With dependent children,49
E05009328,Poplar (Tower Hamlets),9,Single family household: Cohabiting couple family: All children non-dependent,12
E05009328,Poplar (Tower Hamlets),10,Single family household: Lone parent family: With dependent children,282
E05009328,Poplar (Tower Hamlets),11,Single family household: Lone parent family: All children non-dependent,144
E05009328,Poplar (Tower Hamlets),12,Other household types: Other related household: Other family composition,83
E05009328,Poplar (Tower Hamlets),13,Other household types: With dependent children,142
E05009328,Poplar (Tower Hamlets),14,"Other household types: Other, including all full-time students and all aged 66 years and over",281
E05009329,St Dunstan's,-8,Does not apply,0
E05009329,St Dunstan's,1,One-person household: Aged 66 years and over,255
E05009329,St Dunstan's,2,One-person household: Other,1066
E05009329,St Dunstan's,3,Single family household: All aged 66 years and over,53
E05009329,St Dunstan's,4,Single family household: Married or civil partnership couple: No children,212
E05009329,St Dunstan's,5,Single family household: Married or civil partnership couple: Dependent children,856
E05009329,St Dunstan's,6,Single family household: Married or civil partnership couple: All children non-dependent,213
E05009329,St Dunstan's,7,Single family household: Cohabiting couple family: No children,365
E05009329,St Dunstan's,8,Single family household: Cohabiting couple family: With dependent children,122
E05009329,St Dunstan's,9,Single family household: Cohabiting couple family: All children non-dependent,10
E05009329,St Dunstan's,10,Single family household: Lone parent family: With dependent children,405
E05009329,St Dunstan's,11,Single family household: Lone parent family: All children non-dependent,271
E05009329,St Dunstan's,12,Other household types: Other related household: Other family composition,104
E05009329,St Dunstan's,13,Other household types: With dependent children,371
E05009329,St Dunstan's,14,"Other household types: Other, including all full-time students and all aged 66 years and over",536
E05009330,St Katharine's & Wapping,-8,Does not apply,0
E05009330,St Katharine's & Wapping,1,One-person household: Aged 66 years and over,303
E05009330,St Katharine's & Wapping,2,One-person household: Other,1896
E05009330,St Katharine's & Wapping,3,Single family household: All aged 66 years and over,118
E05009330,St Katharine's & Wapping,4,Single family household: Married or civil partnership couple: No children,653
E05009330,St Katharine's & Wapping,5,Single family household: Married or civil partnership couple: Dependent children,597
E05009330,St Katharine's & Wapping,6,Single family household: Married or civil partnership couple: All children non-dependent,91
E05009330,St Katharine's & Wapping,7,Single family household: Cohabiting couple family: No children,903
E05009330,St Katharine's & Wapping,8,Single family household: Cohabiting couple family: With dependent children,102
E05009330,St Katharine's & Wapping,9,Single family household: Cohabiting couple family: All children non-dependent,16
E05009330,St Katharine's & Wapping,10,Single family household: Lone parent family: With dependent children,162
E05009330,St Katharine's & Wapping,11,Single family household: Lone parent family: All children non-dependent,125
E05009330,St Katharine's & Wapping,12,Other household types: Other related household: Other family composition,109
E05009330,St Katharine's & Wapping,13,Other household types: With dependent children,100
E05009330,St Katharine's & Wapping,14,"Other household types: Other, including all full-time students and all aged 66 years and over",622
E05009331,St Peter's (Tower Hamlets),-8,Does not apply,0
E05009331,St Peter's (Tower Hamlets),1,One-person household: Aged 66 years and over,426
E05009331,St Peter's (Tower Hamlets),2,One-person household: Other,2078
E05009331,St Peter's (Tower Hamlets),3,Single family household: All aged 66 years and over,75
E05009331,St Peter's (Tower Hamlets),4,Single family household: Married or civil partnership couple: No children,386
E05009331,St Peter's (Tower Hamlets),5,Single family household: Married or civil partnership couple: Dependent children,922
E05009331,St Peter's (Tower Hamlets),6,Single family household: Married or civil partnership couple: All children non-dependent,173
E05009331,St Peter's (Tower Hamlets),7,Single family household: Cohabiting couple family: No children,848
E05009331,St Peter's (Tower Hamlets),8,Single family household: Cohabiting couple family: With dependent children,179
E05009331,St Peter's (Tower Hamlets),9,Single family household: Cohabiting couple family: All children non-dependent,15
E05009331,St Peter's (Tower Hamlets),10,Single family household: Lone parent family: With dependent children,389
E05009331,St Peter's (Tower Hamlets),11,Single family household: Lone parent family: All children non-dependent,318
E05009331,St Peter's (Tower Hamlets),12,Other household types: Other related household: Other family composition,160
E05009331,St Peter's (Tower Hamlets),13,Other household types: With dependent children,333
E05009331,St Peter's (Tower Hamlets),14,"Other household types: Other, including all full-time students and all aged 66 years and over",1112
E05009332,Shadwell,-8,Does not apply,0
E05009332,Shadwell,1,One-person household: Aged 66 years and over,315
E05009332,Shadwell,2,One-person household: Other,1034
E05009332,Shadwell,3,Single family household: All aged 66 years and over,49
E05009332,Shadwell,4,Single family household: Married or civil partnership couple: No children,227
E05009332,Shadwell,5,Single family household: Married or civil partnership couple: Dependent children,853
E05009332,Shadwell,6,Single family household: Married or civil partnership couple: All children non-dependent,157
E05009332,Shadwell,7,Single family household: Cohabiting couple family: No children,281
E05009332,Shadwell,8,Single family household: Cohabiting couple family: With dependent children,88
E05009332,Shadwell,9,Single family household: Cohabiting couple family: All children non-dependent,11
E05009332,Shadwell,10,Single family household: Lone parent family: With dependent children,325
E05009332,Shadwell,11,Single family household: Lone parent family: All children non-dependent,228
E05009332,Shadwell,12,Other household types: Other related household: Other family composition,108
E05009332,Shadwell,13,Other household types: With dependent children,296
E05009332,Shadwell,14,"Other household types: Other, including all full-time students and all aged 66 years and over",520
E05009333,Spitalfields & Banglatown,-8,Does not apply,0
E05009333,Spitalfields & Banglatown,1,One-person household: Aged 66 years and over,191
E05009333,Spitalfields & Banglatown,2,One-person household: Other,1571
E05009333,Spitalfields & Banglatown,3,Single family household: All aged 66 years and over,36
E05009333,Spitalfields & Banglatown,4,Single family household: Married or civil partnership couple: No children,331
E05009333,Spitalfields & Banglatown,5,Single family household: Married or civil partnership couple: Dependent children,586
E05009333,Spitalfields & Banglatown,6,Single family household: Married or civil partnership couple: All children non-dependent,135
E05009333,Spitalfields & Banglatown,7,Single family household: Cohabiting couple family: No children,476
E05009333,Spitalfields & Banglatown,8,Single family household: Cohabiting couple family: With dependent children,69
E05009333,Spitalfields & Banglatown,9,Single family household: Cohabiting couple family: All children non-dependent,11
E05009333,Spitalfields & Banglatown,10,Single family household: Lone parent family: With dependent children,213
E05009333,Spitalfields & Banglatown,11,Single family household: Lone parent family: All children non-dependent,190
E05009333,Spitalfields & Banglatown,12,Other household types: Other related household: Other family composition,148
E05009333,Spitalfields & Banglatown,13,Other household types: With dependent children,245
E05009333,Spitalfields & Banglatown,14,"Other household types: Other, including all full-time students and all aged 66 years and over",856
E05009334,Stepney Green,-8,Does not apply,0
E05009334,Stepney Green,1,One-person household: Aged 66 years and over,387
E05009334,Stepney Green,2,One-person household: Other,906
E05009334,Stepney Green,3,Single family household: All aged 66 years and over,61
E05009334,Stepney Green,4,Single family household: Married or civil partnership couple: No children,184
E05009334,Stepney Green,5,Single family household: Married or civil partnership couple: Dependent children,776
E05009334,Stepney Green,6,Single family household: Married or civil partnership couple: All children non-dependent,165
E05009334,Stepney Green,7,Single family household: Cohabiting couple family: No children,234
E05009334,Stepney Green,8,Single family household: Cohabiting couple family: With dependent children,63
E05009334,Stepney Green,9,Single family household: Cohabiting couple family: All children non-dependent,21
E05009334,Stepney Green,10,Single family household: Lone parent family: With dependent children,293
E05009334,Stepney Green,11,Single family household: Lone parent family: All children non-dependent,257
E05009334,Stepney Green,12,Other household types: Other related household: Other family composition,106
E05009334,Stepney Green,13,Other household types: With dependent children,269
E05009334,Stepney Green,14,"Other household types: Other, including all full-time students and all aged 66 years and over",540
E05009335,Weavers,-8,Does not apply,0
E05009335,Weavers,1,One-person household: Aged 66 years and over,329
E05009335,Weavers,2,One-person household: Other,1547
E05009335,Weavers,3,Single family household: All aged 66 years and over,52
E05009335,Weavers,4,Single family household: Married or civil partnership couple: No children,291
E05009335,Weavers,5,Single family household: Married or civil partnership couple: Dependent children,707
E05009335,Weavers,6,Single family household: Married or civil partnership couple: All children non-dependent,102
E05009335,Weavers,7,Single family household: Cohabiting couple family: No children,561
E05009335,Weavers,8,Single family household: Cohabiting couple family: With dependent children,91
E05009335,Weavers,9,Single family household: Cohabiting couple family: All children non-dependent,13
E05009335,Weavers,10,Single family household: Lone parent family: With dependent children,349
E05009335,Weavers,11,Single family household: Lone parent family: All children non-dependent,207
E05009335,Weavers,12,Other household types: Other related household: Other family composition,120
E05009335,Weavers,13,Other household types: With dependent children,176
E05009335,Weavers,14,"Other household types: Other, including all full-time students and all aged 66 years and over",923
E05009336,Whitechapel,-8,Does not apply,0
E05009336,Whitechapel,1,One-person household: Aged 66 years and over,228
E05009336,Whitechapel,2,One-person household: Other,2296
E05009336,Whitechapel,3,Single family household: All aged 66 years and over,37
E05009336,Whitechapel,4,Single family household: Married or civil partnership couple: No children,485
E05009336,Whitechapel,5,Single family household: Married or civil partnership couple: Dependent children,922
E05009336,Whitechapel,6,Single family household: Married or civil partnership couple: All children non-dependent,118
E05009336,Whitechapel,7,Single family household: Cohabiting couple family: No children,815
E05009336,Whitechapel,8,Single family household: Cohabiting couple family: With dependent children,96
E05009336,Whitechapel,9,Single family household: Cohabiting couple family: All children non-dependent,5
E05009336,Whitechapel,10,Single family household: Lone parent family: With dependent children,379
E05009336,Whitechapel,11,Single family household: Lone parent family: All children non-dependent,176
E05009336,Whitechapel,12,Other household types: Other related household: Other family composition,303
E05009336,Whitechapel,13,Other household types: With dependent children,277
E05009336,Whitechapel,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1240
E05009367,Brownswood,-8,Does not apply,0
E05009367,Brownswood,1,One-person household: Aged 66 years and over,232
E05009367,Brownswood,2,One-person household: Other,1196
E05009367,Brownswood,3,Single family household: All aged 66 years and over,67
E05009367,Brownswood,4,Single family household: Married or civil partnership couple: No children,256
E05009367,Brownswood,5,Single family household: Married or civil partnership couple: Dependent children,392
E05009367,Brownswood,6,Single family household: Married or civil partnership couple: All children non-dependent,100
E05009367,Brownswood,7,Single family household: Cohabiting couple family: No children,517
E05009367,Brownswood,8,Single family household: Cohabiting couple family: With dependent children,114
E05009367,Brownswood,9,Single family household: Cohabiting couple family: All children non-dependent,8
E05009367,Brownswood,10,Single family household: Lone parent family: With dependent children,297
E05009367,Brownswood,11,Single family household: Lone parent family: All children non-dependent,174
E05009367,Brownswood,12,Other household types: Other related household: Other family composition,77
E05009367,Brownswood,13,Other household types: With dependent children,96
E05009367,Brownswood,14,"Other household types: Other, including all full-time students and all aged 66 years and over",583
E05009368,Cazenove,-8,Does not apply,0
E05009368,Cazenove,1,One-person household: Aged 66 years and over,322
E05009368,Cazenove,2,One-person household: Other,1164
E05009368,Cazenove,3,Single family household: All aged 66 years and over,109
E05009368,Cazenove,4,Single family household: Married or civil partnership couple: No children,274
E05009368,Cazenove,5,Single family household: Married or civil partnership couple: Dependent children,1092
E05009368,Cazenove,6,Single family household: Married or civil partnership couple: All children non-dependent,190
E05009368,Cazenove,7,Single family household: Cohabiting couple family: No children,322
E05009368,Cazenove,8,Single family household: Cohabiting couple family: With dependent children,124
E05009368,Cazenove,9,Single family household: Cohabiting couple family: All children non-dependent,9
E05009368,Cazenove,10,Single family household: Lone parent family: With dependent children,448
E05009368,Cazenove,11,Single family household: Lone parent family: All children non-dependent,234
E05009368,Cazenove,12,Other household types: Other related household: Other family composition,108
E05009368,Cazenove,13,Other household types: With dependent children,236
E05009368,Cazenove,14,"Other household types: Other, including all full-time students and all aged 66 years and over",558
E05009369,Clissold,-8,Does not apply,0
E05009369,Clissold,1,One-person household: Aged 66 years and over,394
E05009369,Clissold,2,One-person household: Other,1371
E05009369,Clissold,3,Single family household: All aged 66 years and over,104
E05009369,Clissold,4,Single family household: Married or civil partnership couple: No children,351
E05009369,Clissold,5,Single family household: Married or civil partnership couple: Dependent children,686
E05009369,Clissold,6,Single family household: Married or civil partnership couple: All children non-dependent,153
E05009369,Clissold,7,Single family household: Cohabiting couple family: No children,644
E05009369,Clissold,8,Single family household: Cohabiting couple family: With dependent children,196
E05009369,Clissold,9,Single family household: Cohabiting couple family: All children non-dependent,34
E05009369,Clissold,10,Single family household: Lone parent family: With dependent children,465
E05009369,Clissold,11,Single family household: Lone parent family: All children non-dependent,325
E05009369,Clissold,12,Other household types: Other related household: Other family composition,85
E05009369,Clissold,13,Other household types: With dependent children,111
E05009369,Clissold,14,"Other household types: Other, including all full-time students and all aged 66 years and over",554
E05009370,Dalston,-8,Does not apply,0
E05009370,Dalston,1,One-person household: Aged 66 years and over,205
E05009370,Dalston,2,One-person household: Other,1136
E05009370,Dalston,3,Single family household: All aged 66 years and over,34
E05009370,Dalston,4,Single family household: Married or civil partnership couple: No children,253
E05009370,Dalston,5,Single family household: Married or civil partnership couple: Dependent children,286
E05009370,Dalston,6,Single family household: Married or civil partnership couple: All children non-dependent,57
E05009370,Dalston,7,Single family household: Cohabiting couple family: No children,559
E05009370,Dalston,8,Single family household: Cohabiting couple family: With dependent children,95
E05009370,Dalston,9,Single family household: Cohabiting couple family: All children non-dependent,10
E05009370,Dalston,10,Single family household: Lone parent family: With dependent children,255
E05009370,Dalston,11,Single family household: Lone parent family: All children non-dependent,177
E05009370,Dalston,12,Other household types: Other related household: Other family composition,103
E05009370,Dalston,13,Other household types: With dependent children,99
E05009370,Dalston,14,"Other household types: Other, including all full-time students and all aged 66 years and over",729
E05009371,De Beauvoir,-8,Does not apply,0
E05009371,De Beauvoir,1,One-person household: Aged 66 years and over,268
E05009371,De Beauvoir,2,One-person household: Other,1048
E05009371,De Beauvoir,3,Single family household: All aged 66 years and over,78
E05009371,De Beauvoir,4,Single family household: Married or civil partnership couple: No children,264
E05009371,De Beauvoir,5,Single family household: Married or civil partnership couple: Dependent children,407
E05009371,De Beauvoir,6,Single family household: Married or civil partnership couple: All children non-dependent,99
E05009371,De Beauvoir,7,Single family household: Cohabiting couple family: No children,524
E05009371,De Beauvoir,8,Single family household: Cohabiting couple family: With dependent children,117
E05009371,De Beauvoir,9,Single family household: Cohabiting couple family: All children non-dependent,13
E05009371,De Beauvoir,10,Single family household: Lone parent family: With dependent children,357
E05009371,De Beauvoir,11,Single family household: Lone parent family: All children non-dependent,176
E05009371,De Beauvoir,12,Other household types: Other related household: Other family composition,71
E05009371,De Beauvoir,13,Other household types: With dependent children,86
E05009371,De Beauvoir,14,"Other household types: Other, including all full-time students and all aged 66 years and over",547
E05009372,Hackney Central,-8,Does not apply,0
E05009372,Hackney Central,1,One-person household: Aged 66 years and over,478
E05009372,Hackney Central,2,One-person household: Other,1628
E05009372,Hackney Central,3,Single family household: All aged 66 years and over,67
E05009372,Hackney Central,4,Single family household: Married or civil partnership couple: No children,243
E05009372,Hackney Central,5,Single family household: Married or civil partnership couple: Dependent children,511
E05009372,Hackney Central,6,Single family household: Married or civil partnership couple: All children non-dependent,143
E05009372,Hackney Central,7,Single family household: Cohabiting couple family: No children,550
E05009372,Hackney Central,8,Single family household: Cohabiting couple family: With dependent children,162
E05009372,Hackney Central,9,Single family household: Cohabiting couple family: All children non-dependent,27
E05009372,Hackney Central,10,Single family household: Lone parent family: With dependent children,587
E05009372,Hackney Central,11,Single family household: Lone parent family: All children non-dependent,353
E05009372,Hackney Central,12,Other household types: Other related household: Other family composition,116
E05009372,Hackney Central,13,Other household types: With dependent children,150
E05009372,Hackney Central,14,"Other household types: Other, including all full-time students and all aged 66 years and over",673
E05009373,Hackney Downs,-8,Does not apply,0
E05009373,Hackney Downs,1,One-person household: Aged 66 years and over,371
E05009373,Hackney Downs,2,One-person household: Other,1486
E05009373,Hackney Downs,3,Single family household: All aged 66 years and over,76
E05009373,Hackney Downs,4,Single family household: Married or civil partnership couple: No children,279
E05009373,Hackney Downs,5,Single family household: Married or civil partnership couple: Dependent children,536
E05009373,Hackney Downs,6,Single family household: Married or civil partnership couple: All children non-dependent,145
E05009373,Hackney Downs,7,Single family household: Cohabiting couple family: No children,495
E05009373,Hackney Downs,8,Single family household: Cohabiting couple family: With dependent children,193
E05009373,Hackney Downs,9,Single family household: Cohabiting couple family: All children non-dependent,21
